GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,cook,cuisine,drink,eating_out,employment,ethnic_food,exercise,father_education,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
2.4,Male,cereal,430,3,315,frapuccino,couple of times a week,American,Orange-Juice,2-3/week,No,1,Everyday,graduate degree,Home-made,Home-Fries,5,Sophomore,5,2,"$70,001 to $100k",5,5,1,Single,less than high school,everything,On campus,Almost everyday,$5.01 to $10,5,just right,veggie-soup,Yes,1,1165,345,5,yes,1315,187
3.654,Female,cereal,610,3,420,espresso,not very often,American,Soda,1-2/week,Part-time,4,Everyday,high school degree,Home-made,McDonalds,4,Senior,4,5,"$50,001 to $70k",4,4,1,In-relation,college degree,most products,On campus,Almost everyday,$20.01 to $30,4,just right,veggie-soup,Yes,2,725,690,4,no,900,155
3.3,Female,cereal,720,4,420,espresso,Every day,Korean/Asian,Orange-Juice,1-2/week,No,5,2/3 Week,high school degree,both,McDonalds,5,Junior,5,6,higher than $100k,5,5,7,In-relation,high school degree,most products,Rent out of campus,Almost everyday,$10.01 to $20,5,idont see,veggie-soup,No,5,1165,500,5,yes,900,155
3.2,Female,cereal,430,3,420,espresso,couple of times a week,Mexican.Spanish,Soda,1-2/week,No,5,1 Week,high school degree,Home-made,Home-Fries,4,Senior,5,7,higher than $100k,5,5,2,In-relation,college degree,certain products only,On campus,Almost everyday,$5.01 to $10,5,overweight,veggie-soup,No,5,725,690,3,yes,1315,240
3.5,Female,cereal,720,2,420,espresso,Every day,Mexican.Spanish,Soda,1-2/week,Part-time,4,Everyday,college degree,both,McDonalds,4,Senior,4,6,higher than $100k,2,5,1,Single,graduate degree,very rarely,On campus,Almost everyday,$20.01 to $30,2,slight overweight,veggie-soup,Yes,4,940,500,4,no,760,190
2.25,Female,cereal,610,3,980,espresso,not very often,American,Soda,Never,No,4,2/3 Week,less than high school,both,McDonalds,2,Sophomore,2,4,less than $15k,5,5,4,In-relation,less than high school,never,On campus,2-3/week,$30.01 to $40,5,overweight,veggie-soup,No,4,940,345,1,no,1315,190
3.8,Male,cereal,610,3,420,espresso,couple of times a week,American,Orange-Juice,1-2/week,No,5,Everyday,college degree,Home-made,McDonalds,4,Senior,5,4,"$50,001 to $70k",5,5,8,Single,college degree,most products,Rent out of campus,2-3/week,$5.01 to $10,5,slight overweight,veggie-soup,Yes,5,940,690,4,yes,1315,180
3.3,Female,cereal,720,3,420,frapuccino,not very often,American,Soda,1-2/week,Part-time,2,2/3 Week,some college degree,Home-made,McDonalds,5,Sophomore,3,3,"$70,001 to $100k",1,3,3,Single,high school degree,most products,On campus,Almost everyday,$30.01 to $40,1,just right,veggie-soup,No,1,725,500,4,no,1315,137
3.3,Female,cereal,430,3,420,frapuccino,not very often,American,Orange-Juice,every day,Part-time,5,Everyday,graduate degree,both,McDonalds,4,freshman,5,7,"$70,001 to $100k",5,5,8,In-relation,graduate degree,certain products only,On campus,2-3/week,$10.01 to $20,5,slight overweight,creamy-soup,No,5,725,345,3,no,760,180
3.3,Female,cereal,430,3,315,espresso,not very often,American,Orange-Juice,2-3/week,No,5,Everyday,graduate degree,Home-made,McDonalds,5,freshman,5,3,"$50,001 to $70k",4,5,3,In-relation,graduate degree,everything,On campus,1-2/week,$10.01 to $20,4,just right,veggie-soup,Yes,4,580,345,5,yes,900,125
3.5,Female,cereal,610,3,980,espresso,Every day,American,Soda,1-2/week,Full-time,5,Everyday,high school degree,Home-made,McDonalds,5,Junior,1,9,"$30,001 to $50k",1,5,8,Single,college degree,certain products only,Live with parents,Almost everyday,$5.01 to $10,2,slim,veggie-soup,Yes,2,940,345,5,no,900,116
3.904,Female,cereal,720,4,420,espresso,not very often,American,Orange-Juice,Never,Part-time,5,Everyday,some college degree,Home-made,McDonalds,5,Sophomore,5,1,"$70,001 to $100k",5,5,1,In-relation,college degree,everything,On campus,Almost everyday,$10.01 to $20,5,very fit,veggie-soup,Yes,5,940,500,5,yes,900,110
3.4,Male,cereal,430,3,420,espresso,Never,American,Soda,Never,No,4,1 Week,some college degree,both,McDonalds,4,freshman,3,9,"$70,001 to $100k",3,4,9,In-relation,college degree,certain products only,On campus,2-3/week,$5.01 to $10,3,overweight,creamy-soup,Yes,3,940,500,3,no,575,264
3.6,Female,cereal,610,3,420,espresso,couple of times a week,American,Soda,3-5/week,Part-time,5,2/3 Week,high school degree,Home-made,McDonalds,5,Junior,4,8,"$70,001 to $100k",3,5,10,In-relation,college degree,certain products only,Rent out of campus,2-3/week,$10.01 to $20,3,just right,veggie-soup,Yes,5,1165,850,5,no,1315,123
3.1,Male,cereal,610,3,420,espresso,not very often,American,Soda,1-2/week,No,4,2/3 Week,college degree,both,McDonalds,5,Junior,4,2,"$70,001 to $100k",2,3,1,Single,college degree,certain products only,Rent out of campus,2-3/week,$10.01 to $20,1,just right,veggie-soup,Yes,4,940,500,5,yes,900,185
3.309,Male,donut,430,3,980,espresso,only help during holidays,American,Soda,3-5/week,No,1,Everyday,graduate degree,Store-bought,McDonalds,3,freshman,1,6,"$50,001 to $70k",1,5,5,In-relation,college degree,never,On campus,2-3/week,$10.01 to $20,1,very fit,creamy-soup,Yes,1,940,345,1,no,1315,180
4.0,Female,cereal,265,3,420,frapuccino,not very often,American,Orange-Juice,Never,Part-time,2,2/3 Week,less than high school,Home-made,McDonalds,5,freshman,2,7,less than $15k,5,3,9,In-relation,high school degree,most products,On campus,2-3/week,$5.01 to $10,2,just right,veggie-soup,No,1,580,345,5,yes,760,145
3.6,Male,cereal,430,3,980,espresso,not very often,American,Soda,1-2/week,No,4,Everyday,high school degree,both,McDonalds,3,freshman,3,8,higher than $100k,3,5,7,In-relation,high school degree,most products,On campus,Almost everyday,more than $40.01,2,very fit,veggie-soup,Yes,3,940,500,4,no,900,170
3.4,Female,cereal,720,3,980,frapuccino,not very often,American,Orange-Juice,2-3/week,Part-time,1,1 Week,graduate degree,both,McDonalds,5,Sophomore,3,6,"$70,001 to $100k",1,5,9,In-relation,some college degree,certain products only,On campus,Almost everyday,$5.01 to $10,1,just right,creamy-soup,No,1,1165,690,5,yes,1315,135
2.2,Male,cereal,430,2,420,espresso,only help during holidays,American,Soda,1-2/week,No,3,2/3 Week,graduate degree,Home-made,McDonalds,2,freshman,3,4,"$70,001 to $100k",2,5,7,Single,college degree,never,On campus,Almost everyday,$10.01 to $20,3,slight overweight,veggie-soup,Yes,3,940,345,2,no,900,165
3.3,Male,cereal,610,3,980,espresso,Never,American,Soda,3-5/week,Part-time,4,Everyday,graduate degree,both,McDonalds,2,Sophomore,2,5,higher than $100k,1,4,2,Single,college degree,certain products only,On campus,Almost everyday,$5.01 to $10,1,idont see,veggie-soup,Yes,1,1165,850,3,no,1315,175
3.87,Male,cereal,610,3,315,frapuccino,not very often,Korean/Asian,Soda,Never,Part-time,3,Everyday,college degree,Store-bought,McDonalds,3,Senior,5,8,higher than $100k,5,5,7,In-relation,high school degree,most products,On campus,1-2/week,$30.01 to $40,5,very fit,creamy-soup,Yes,5,725,500,2,no,900,195
3.7,Male,cereal,610,3,420,frapuccino,Never,Mexican.Spanish,Orange-Juice,Never,Part-time,3,Everyday,college degree,Home-made,Home-Fries,4,freshman,4,2,higher than $100k,5,5,5,Single,college degree,very rarely,On campus,1-2/week,$30.01 to $40,2,very fit,veggie-soup,Yes,4,940,850,3,yes,1315,185
3.7,Male,donut,610,3,420,espresso,only help during holidays,American,Orange-Juice,1-2/week,Part-time,5,1 Week,college degree,Home-made,McDonalds,3,Junior,2,4,"$50,001 to $70k",4,5,5,Single,high school degree,certain products only,On campus,2-3/week,$10.01 to $20,2,just right,veggie-soup,Yes,4,940,690,4,yes,1315,185
3.9,Female,cereal,720,2,420,espresso,Every day,American,Soda,3-5/week,No,4,Everyday,some college degree,Home-made,McDonalds,4,Junior,5,5,"$50,001 to $70k",3,5,2,In-relation,high school degree,certain products only,On campus,Almost everyday,$10.01 to $20,3,slight overweight,creamy-soup,No,4,940,500,4,no,1315,105
2.8,Female,donut,720,3,420,espresso,not very often,American,Orange-Juice,1-2/week,No,2,Everyday,college degree,both,McDonalds,4,freshman,3,8,higher than $100k,3,3,5,Single,some college degree,most products,On campus,Almost everyday,$10.01 to $20,3,just right,veggie-soup,Yes,3,1165,690,3,no,760,125
3.7,Male,cereal,610,2,420,frapuccino,not very often,American,Orange-Juice,1-2/week,Part-time,2,Everyday,college degree,Home-made,McDonalds,3,Sophomore,1,9,"$70,001 to $100k",1,5,9,In-relation,high school degree,certain products only,On campus,Almost everyday,$20.01 to $30,1,very fit,creamy-soup,Yes,2,1165,850,3,no,1315,160
3.0,Male,cereal,610,4,980,espresso,only help during holidays,American,Soda,1-2/week,No,3,Everyday,graduate degree,Home-made,McDonalds,5,freshman,3,9,higher than $100k,3,4,9,In-relation,graduate degree,most products,On campus,Almost everyday,more than $40.01,2,very fit,veggie-soup,Yes,3,1165,500,5,yes,1315,175
3.2,Male,cereal,610,2,420,espresso,couple of times a week,Mexican.Spanish,Orange-Juice,1-2/week,Part-time,2,2/3 Week,college degree,Home-made,McDonalds,3,Junior,1,4,"$70,001 to $100k",1,5,3,Single,college degree,everything,On campus,Almost everyday,$10.01 to $20,2,just right,veggie-soup,No,1,940,500,2,yes,1315,180
3.5,Male,cereal,265,2,420,espresso,not very often,American,Soda,every day,No,5,2/3 Week,graduate degree,Home-made,McDonalds,5,Junior,3,9,"$70,001 to $100k",5,5,10,Single,graduate degree,certain products only,On campus,Almost everyday,$20.01 to $30,5,very fit,veggie-soup,No,5,580,500,4,yes,760,167
4.0,Female,cereal,720,3,420,espresso,not very often,American,Orange-Juice,2-3/week,Part-time,4,2/3 Week,high school degree,Store-bought,McDonalds,3,Senior,2,7,"$70,001 to $100k",3,4,8,In-relation,graduate degree,most products,Live with parents,1-2/week,$10.01 to $20,2,just right,creamy-soup,Yes,3,940,500,5,yes,1315,115
4.0,Male,cereal,610,3,420,espresso,couple of times a week,American,Soda,1-2/week,No,5,2/3 Week,college degree,Home-made,McDonalds,5,Sophomore,5,5,"$50,001 to $70k",4,5,3,Single,high school degree,most products,own house,Almost everyday,$10.01 to $20,3,slight overweight,creamy-soup,No,4,940,690,5,yes,1315,205
3.4,Male,cereal,610,3,315,espresso,Never,American,Soda,2-3/week,Part-time,5,Everyday,graduate degree,Home-made,McDonalds,4,Senior,5,5,"$70,001 to $100k",5,5,8,Single,graduate degree,most products,On campus,1-2/week,$20.01 to $30,5,slight overweight,veggie-soup,Yes,5,580,345,5,yes,760,155
2.8,Female,cereal,720,3,420,frapuccino,only help during holidays,Mexican.Spanish,Orange-Juice,1-2/week,No,4,1 Week,college degree,Home-made,McDonalds,3,freshman,5,7,"$30,001 to $50k",2,5,3,Single,college degree,most products,On campus,Almost everyday,$10.01 to $20,2,just right,veggie-soup,No,1,1165,500,3,yes,900,128
3.65,Female,cereal,610,3,420,espresso,only help during holidays,American,Orange-Juice,2-3/week,No,2,Everyday,college degree,both,McDonalds,5,freshman,3,1,higher than $100k,1,5,3,Single,college degree,most products,On campus,Never,$20.01 to $30,1,very fit,veggie-soup,Yes,3,940,345,4,yes,1315,150
3.0,Female,cereal,610,2,420,espresso,Every day,American,Orange-Juice,1-2/week,No,2,Everyday,college degree,Home-made,McDonalds,5,Junior,3,2,"$50,001 to $70k",1,5,3,In-relation,college degree,certain products only,Rent out of campus,Almost everyday,$10.01 to $20,2,very fit,veggie-soup,Yes,2,940,690,5,no,760,150
3.7,Female,cereal,610,3,420,espresso,not very often,American,Soda,3-5/week,Part-time,4,Everyday,graduate degree,both,McDonalds,5,Sophomore,3,7,higher than $100k,2,5,7,Single,high school degree,very rarely,On campus,2-3/week,$10.01 to $20,1,slight overweight,creamy-soup,Yes,2,1165,500,5,no,900,150
3.4,Female,cereal,720,4,420,espresso,couple of times a week,other,Soda,1-2/week,Part-time,4,1 Week,high school degree,Home-made,McDonalds,3,Senior,5,4,higher than $100k,3,5,2,In-relation,some college degree,most products,On campus,Almost everyday,$20.01 to $30,3,slight overweight,veggie-soup,Yes,5,940,500,4,no,1315,170
3.89,Female,cereal,610,3,980,espresso,not very often,American,Orange-Juice,1-2/week,No,4,2/3 Week,college degree,Home-made,McDonalds,4,Senior,3,6,"$70,001 to $100k",3,5,8,In-relation,college degree,most products,On campus,Almost everyday,$10.01 to $20,3,slight overweight,veggie-soup,Yes,2,1165,690,3,no,1315,150
3.0,Male,cereal,720,3,980,espresso,Never,American,Soda,every day,No,3,Everyday,graduate degree,Home-made,McDonalds,5,Senior,1,3,higher than $100k,3,4,5,In-relation,high school degree,never,Rent out of campus,1-2/week,$10.01 to $20,1,slim,veggie-soup,Yes,3,1165,690,3,no,1315,175
3.4,Male,cereal,430,3,315,frapuccino,not very often,American,Soda,1-2/week,No,4,Everyday,college degree,Home-made,McDonalds,3,freshman,5,10,higher than $100k,3,5,8,Single,college degree,very rarely,On campus,Almost everyday,$10.01 to $20,3,very fit,veggie-soup,Yes,3,940,500,4,no,760,140
2.9,Female,cereal,720,4,980,espresso,couple of times a week,American,Orange-Juice,3-5/week,Part-time,4,Everyday,high school degree,Home-made,McDonalds,5,Sophomore,5,6,"$30,001 to $50k",3,5,4,Single,some college degree,most products,On campus,Almost everyday,$10.01 to $20,2,idont see,veggie-soup,No,4,940,690,5,yes,1315,120
3.6,Female,cereal,610,3,420,espresso,only help during holidays,American,Soda,1-2/week,Part-time,3,Everyday,college degree,Home-made,McDonalds,5,Sophomore,5,6,higher than $100k,4,5,7,Single,college degree,never,On campus,2-3/week,$10.01 to $20,2,just right,veggie-soup,No,4,940,500,4,no,900,135
3.5,Female,cereal,430,2,980,frapuccino,not very often,American,Orange-Juice,Never,Part-time,5,Everyday,high school degree,both,McDonalds,4,Junior,5,6,"$30,001 to $50k",5,5,8,In-relation,high school degree,very rarely,On campus,Almost everyday,$5.01 to $10,5,just right,creamy-soup,No,5,940,345,4,yes,900,100
3.2,Female,cereal,610,4,420,espresso,Every day,American,Orange-Juice,1-2/week,Part-time,5,Everyday,college degree,Home-made,McDonalds,5,Senior,5,8,"$70,001 to $100k",5,5,10,Single,high school degree,most products,Rent out of campus,Almost everyday,more than $40.01,5,just right,veggie-soup,Yes,5,725,500,5,yes,760,170
3.605,Female,cereal,610,3,315,espresso,not very often,American,Orange-Juice,1-2/week,Part-time,5,Everyday,college degree,Home-made,McDonalds,5,Sophomore,5,3,higher than $100k,5,5,3,In-relation,college degree,certain products only,On campus,2-3/week,$20.01 to $30,5,slim,veggie-soup,No,5,940,500,5,no,900,113
3.8,Male,cereal,430,2,420,frapuccino,not very often,American,Soda,1-2/week,Part-time,4,2/3 Week,some college degree,Home-made,McDonalds,4,freshman,4,4,"$50,001 to $70k",3,5,4,Single,college degree,very rarely,On campus,2-3/week,$10.01 to $20,3,just right,veggie-soup,Yes,3,725,345,4,no,900,168
2.8,Male,cereal,430,3,980,espresso,only help during holidays,American,Orange-Juice,1-2/week,Part-time,3,Everyday,graduate degree,both,McDonalds,5,freshman,3,8,higher than $100k,2,4,9,Single,graduate degree,certain products only,On campus,Almost everyday,$10.01 to $20,4,very fit,veggie-soup,Yes,1,940,345,5,no,900,145
3.5,Male,donut,430,3,315,frapuccino,only help during holidays,American,Soda,1-2/week,No,4,Everyday,college degree,Home-made,McDonalds,5,Sophomore,4,2,"$70,001 to $100k",4,5,3,Single,college degree,very rarely,On campus,Almost everyday,$10.01 to $20,4,slim,creamy-soup,Yes,4,940,345,5,yes,760,155
3.83,Male,cereal,430,3,315,espresso,not very often,Mexican.Spanish,Orange-Juice,1-2/week,Part-time,3,2/3 Week,high school degree,Home-made,McDonalds,3,Junior,4,9,"$30,001 to $50k",4,5,9,In-relation,college degree,certain products only,On campus,2-3/week,more than $40.01,3,slim,creamy-soup,No,4,1165,690,3,no,900,150
3.6,Male,cereal,720,3,420,espresso,Never,American,Orange-Juice,1-2/week,No,2,Everyday,some college degree,Store-bought,McDonalds,4,Junior,1,8,less than $15k,1,3,8,Single,high school degree,everything,Live with parents,Almost everyday,$10.01 to $20,1,just right,veggie-soup,No,1,1165,500,5,no,760,169
3.3,Male,cereal,610,4,980,frapuccino,not very often,American,Orange-Juice,2-3/week,No,5,Everyday,high school degree,Home-made,McDonalds,5,Sophomore,5,8,higher than $100k,5,5,8,Single,high school degree,everything,On campus,Almost everyday,$10.01 to $20,5,very fit,veggie-soup,Yes,5,1165,500,4,yes,1315,185
3.3,Male,cereal,610,4,420,espresso,Every day,American,Orange-Juice,every day,Part-time,4,Everyday,some college degree,Home-made,McDonalds,5,Sophomore,5,1,"$70,001 to $100k",3,5,5,Single,high school degree,everything,On campus,Almost everyday,$10.01 to $20,3,very fit,creamy-soup,Yes,3,1165,500,5,no,900,200
3.292,Male,cereal,610,3,980,espresso,only help during holidays,American,Soda,2-3/week,Part-time,3,Everyday,high school degree,both,McDonalds,4,Senior,4,5,"$30,001 to $50k",2,5,1,Single,graduate degree,never,Live with parents,Almost everyday,$10.01 to $20,3,slight overweight,veggie-soup,No,1,940,500,4,yes,1315,265
3.5,Male,cereal,610,3,420,espresso,Every day,Mexican.Spanish,Orange-Juice,2-3/week,No,5,Everyday,college degree,Home-made,Home-Fries,5,Sophomore,5,10,higher than $100k,4,5,10,Single,graduate degree,most products,On campus,Almost everyday,more than $40.01,2,very fit,veggie-soup,Yes,4,940,690,5,yes,900,165
3.35,Female,donut,610,2,315,espresso,not very often,American,Soda,every day,No,3,Everyday,less than high school,Home-made,McDonalds,4,freshman,3,8,"$30,001 to $50k",2,5,8,Single,some college degree,very rarely,On campus,2-3/week,$5.01 to $10,2,just right,veggie-soup,Yes,3,940,500,4,no,900,192
3.8,Male,cereal,720,4,315,espresso,not very often,American,Orange-Juice,3-5/week,No,5,Everyday,college degree,Home-made,McDonalds,5,Senior,4,1,higher than $100k,5,5,1,Single,college degree,most products,Rent out of campus,Almost everyday,$20.01 to $30,4,very fit,veggie-soup,Yes,5,1165,500,5,yes,1315,175
2.8,Female,cereal,610,4,980,espresso,couple of times a week,American,Orange-Juice,2-3/week,Part-time,2,Everyday,high school degree,both,Home-Fries,4,Sophomore,5,9,"$70,001 to $100k",2,5,10,Single,college degree,everything,On campus,Almost everyday,$10.01 to $20,1,very fit,creamy-soup,Yes,2,725,345,4,yes,1315,140
3.5,Female,cereal,610,3,420,espresso,Every day,Mexican.Spanish,Soda,1-2/week,Part-time,5,2/3 Week,college degree,Home-made,Home-Fries,5,Junior,5,4,"$70,001 to $100k",5,5,1,Single,graduate degree,certain products only,Rent out of campus,Almost everyday,$20.01 to $30,4,just right,veggie-soup,Yes,5,1165,690,5,yes,1315,155
3.7,Female,cereal,610,3,420,espresso,couple of times a week,American,Soda,1-2/week,No,5,Everyday,college degree,both,McDonalds,5,Senior,5,7,higher than $100k,5,5,10,Single,college degree,certain products only,Rent out of campus,2-3/week,$10.01 to $20,4,just right,creamy-soup,Yes,5,1165,500,4,no,1315,155
3.6,Female,cereal,610,4,420,espresso,couple of times a week,American,Soda,every day,No,5,Everyday,college degree,Home-made,McDonalds,5,freshman,4,3,higher than $100k,1,5,5,Single,college degree,most products,On campus,Almost everyday,$10.01 to $20,1,very fit,veggie-soup,Yes,1,1165,690,5,yes,1315,135
